batsman,total_runs,out,numberofballs,average,strikerate
ER Dwivedi,24.00,2.00,14.00,12,171
PJ Sangwan,24.00,7.00,39.00,3.428571429,62
BMAJ Mendis,23.00,3.00,27.00,7.666666667,85
T Curran,23.00,3.00,27.00,7.666666667,85
J Arunkumar,23.00,3.00,23.00,7.666666667,100
NS Naik,23.00,2.00,31.00,11.5,74
SW Tait,23.00,3.00,26.00,7.666666667,88
MS Wade,22.00,3.00,33.00,7.333333333,67
GB Hogg,22.00,2.00,22.00,11,100
YS Chahal,22.00,4.00,48.00,5.5,46
CA Ingram,21.00,2.00,26.00,10.5,81
DE Bollinger,21.00,1.00,22.00,21,95
RR Raje,20.00,1.00,18.00,20,111
M Muralitharan,20.00,6.00,29.00,3.333333333,69
K Paul,20.00,4.00,24.00,5,83
AC Thomas,20.00,2.00,19.00,10,105
Imran Tahir,20.00,4.00,27.00,5,74
NJ Maddinson,20.00,3.00,21.00,6.666666667,95
Harpreet Singh,20.00,2.00,26.00,10,77
R Shukla,19.00,2.00,23.00,9.5,83
DR Martyn,19.00,2.00,24.00,9.5,79
R Bishnoi,19.00,3.00,17.00,6.333333333,112
A Mukund,19.00,2.00,22.00,9.5,86
Y Gnaneswara Rao,19.00,1.00,17.00,19,112
P R Barman,19.00,1.00,24.00,19,79
Vishnu Vinod,19.00,3.00,26.00,6.333333333,73
JJ van der Wath,18.00,2.00,16.00,9,113
Harmeet Singh,18.00,2.00,12.00,9,150
BJ Haddin,18.00,1.00,11.00,18,164
PV Tambe,18.00,1.00,39.00,18,46
DS Lehmann,18.00,2.00,18.00,9,100
Parvez Rasool,17.00,2.00,20.00,8.5,85
AS Rajpoot,17.00,3.00,30.00,5.666666667,57
PP Ojha,16.00,10.00,44.00,1.6,36
CK Kapugedera,16.00,3.00,23.00,5.333333333,70
S Singh,16.00,1.00,17.00,16,94
SA Abbott,15.00,1.00,13.00,15,115
C Madan,15.00,1.00,19.00,15,79
GR Napier,15.00,1.00,16.00,15,94
VY Mahesh,15.00,2.00,26.00,7.5,58
RD Chahar,15.00,2.00,13.00,7.5,115
SD Lad,15.00,1.00,13.00,15,115
F Behardien,14.00,2.00,13.00,7,108
MDKJ Perera,14.00,2.00,13.00,7,108
S Badree,13.00,5.00,23.00,2.6,57
S Mavi,13.00,3.00,15.00,4.333333333,87
DT Patil,13.00,1.00,13.00,13,100
KJ Abbott,13.00,1.00,8.00,13,163
D Shorey,13.00,2.00,17.00,6.5,76
Swapnil Singh,12.00,3.00,20.00,4,60
T Thushara,12.00,2.00,18.00,6,67
TA Boult,12.00,2.00,14.00,6,86
M Ur Rahman,12.00,2.00,11.00,6,109
AA Chavan,12.00,1.00,11.00,12,109
Karanveer Singh,12.00,1.00,17.00,12,71
S Kaul,12.00,3.00,28.00,4,43
M Ntini,11.00,1.00,18.00,11,61
BB Sran,11.00,1.00,14.00,11,79
T Henderson,11.00,1.00,16.00,11,69
T Kohli,11.00,3.00,19.00,3.666666667,58
DNT Zoysa,11.00,1.00,9.00,11,122
X Thalaivan Sargunam,10.00,1.00,17.00,10,59
J Theron,10.00,2.00,12.00,5,83
AG Murtaza,10.00,1.00,14.00,10,71
TD Paine,10.00,2.00,26.00,5,38
KAJ Roach,10.00,1.00,9.00,10,111
SMSM Senanayake,10.00,1.00,17.00,10,59
D du Preez,10.00,1.00,13.00,10,77
AA Noffke,9.00,1.00,10.00,9,90
Jaskaran Singh,8.00,2.00,11.00,4,73
CJ McKay,8.00,1.00,15.00,8,53
J Searles,8.00,1.00,6.00,8,133
TS Mills,8.00,3.00,11.00,2.666666667,73
P Chopra,8.00,1.00,6.00,8,133
TM Srivastava,8.00,1.00,11.00,8,73
CK Langeveldt,8.00,2.00,9.00,4,89
UA Birla,7.00,1.00,14.00,7,50
VS Malik,7.00,1.00,7.00,7,100
Pankaj Singh,7.00,2.00,12.00,3.5,58
AF Milne,7.00,3.00,12.00,2.333333333,58
N Naik,7.00,1.00,16.00,7,44
AN Ghosh,7.00,2.00,8.00,3.5,88
Ankit Soni,7.00,2.00,8.00,3.5,88
R Bhui,7.00,2.00,17.00,3.5,41
I Sodhi,7.00,2.00,17.00,3.5,41
SB Joshi,6.00,2.00,14.00,3,43
PSP Handscomb,6.00,1.00,12.00,6,50
A Zampa,5.00,2.00,8.00,2.5,63
Shivam Sharma,5.00,1.00,3.00,5,167
SJ Srivastava,5.00,1.00,5.00,5,100
P Awana,5.00,3.00,14.00,1.666666667,36
B Laughlin,5.00,2.00,13.00,2.5,38
DP Nannes,4.00,1.00,13.00,4,31
A Uniyal,4.00,1.00,7.00,4,57
FH Edwards,4.00,1.00,5.00,4,80
A Chandila,4.00,1.00,7.00,4,57
CRD Fernando,4.00,1.00,3.00,4,133
GD McGrath,4.00,1.00,5.00,4,80
M Ashwin,4.00,3.00,8.00,1.333333333,50
H Vihari,4.00,2.00,8.00,2,50
VRV Singh,4.00,1.00,2.00,4,200
CJ Jordan,3.00,1.00,5.00,3,60
A Turner,3.00,3.00,10.00,1,30
R Ninan,3.00,1.00,6.00,3,50
D Kalyankrishna,3.00,1.00,7.00,3,43
H Viljoen,3.00,2.00,5.00,1.5,60
BAW Mendis,3.00,2.00,6.00,1.5,50
Mohammad Asif,3.00,2.00,6.00,1.5,50
H Edwards,3.00,1.00,5.00,3,60
Younis Khan,3.00,1.00,7.00,3,43
KP Appanna,2.00,1.00,3.00,2,67
RS Gavaskar,2.00,1.00,8.00,2,25
SB Wagh,2.00,2.00,3.00,1,67
Mohammad Ashraful,2.00,1.00,10.00,2,20
S Randiv,2.00,1.00,4.00,2,50
Shoaib Akhtar,2.00,1.00,7.00,2,29
A Singh,2.00,4.00,10.00,0.5,20
VS Yeligati,2.00,1.00,2.00,2,100
H Das,2.00,1.00,5.00,2,40
SE Bond,1.00,1.00,2.00,1,50
Shoaib Ahmed,1.00,2.00,6.00,0.5,17
Mustafizur Rahman,1.00,1.00,3.00,1,33
L Plunkett,1.00,1.00,3.00,1,33
BE Hendricks,1.00,1.00,3.00,1,33
DJ Muthuswami,1.00,1.00,3.00,1,33
M Wood,1.00,1.00,3.00,1,33
P Krishna,1.00,1.00,7.00,1,14
M de Lange,1.00,1.00,2.00,1,50
K Ahmed,0.00,1.00,1.00,0,0
C Nanda,0.00,1.00,1.00,0,0
S Lamichhane,0.00,1.00,1.00,0,0
RR Bhatkal,0.00,2.00,2.00,0,0
IC Pandey,0.00,1.00,2.00,0,0
Sunny Gupta,0.00,1.00,1.00,0,0
ND Doshi,0.00,1.00,13.00,0,0
J Denly,0.00,1.00,1.00,0,0
S Ladda,0.00,2.00,9.00,0,0
V Pratap Singh,0.00,1.00,1.00,0,0
S Kaushik,0.00,1.00,1.00,0,0
